category,topic
Animals,Penguin
Animals,Elephant
Animals,"Red fox"
Animals,Butterfly
Food,Spaghetti
Food,Pineapple
Food,"Ice cream sundae"
Food,"Birthday cake"
Places,Lighthouse
Places,Castle
Places,Playground
Places,Campsite
Jobs,Firefighter
Jobs,Doctor
Jobs,Detective
Jobs,Magician
Nature,Volcano
Nature,Rainbow
Nature,"Palm tree"
Nature,Snowman
Vehicles,Bicycle
Vehicles,Spaceship
Vehicles,Sailboat
Vehicles,Tractor
Household,"Vacuum cleaner"
Household,Umbrella
Household,"Alarm clock"
Household,"Rocking chair"
Fairy tales,Dragon
Fairy tales,Mermaid
Fairy tales,"Magic wand"
Fairy tales,Princess
Sports,Football
Sports,Tennis
Sports,Skateboard
Sports,Sled
Travel,Tent
Travel,Suitcase
Travel,Map
Travel,"Hot air balloon"
