question,answer
"In welchem Jahr fiel die Berliner Mauer?",1989
"Wie viele Planeten hat unser Sonnensystem?",8
"Welche Geschwindigkeit (km/h) erreicht ein Gepard im Sprint?",120
"Wie hoch (in Metern) ist der Eiffelturm?",330
"Wie viele Knochen hat ein erwachsener Mensch?",206
"In welchem Jahr wurde das World Wide Web öffentlich?",1991
"Wie viele Spieler hat eine Fussballmannschaft auf dem Feld?",11
"Welche Temperatur (Grad Celsius) hat kochendes Wasser auf Meeresniveau?",100
"Wie viele Bundesländer hat Deutschland?",16
"Wie viele Karten hat ein standardmaessiges Kartenspiel?",52
"Welche Spannung (Volt) hat eine haushaltsuebliche Steckdose in Deutschland?",230
"Wie viele Tasten hat ein standardmaessiges Klavier?",88
"Wie viele Zaehne hat ein erwachsenener Mensch (inkl. Weisheitszaehne)?",32
"Welche Lichtgeschwindigkeit (km/s, gerundet) hat Licht im Vakuum?",300000
"Wie viele Beine hat ein Octopus?",8
"Welches Jahr wurde die UNO gegruendet?",1945
"Wie viele Oscar-Trophaee (Millimeter) ist ein Oscar hoch?",343
"Welche Temperatur (Grad Celsius, gerundet) hat trockeneis?",-78
"Wie viele Spieler hat eine Handballmannschaft auf dem Feld?",7
"Welches Jahr wurde der Euro als Buchgeld eingefuehrt?",1999
