question,answer
"In which year did the Berlin Wall fall?",1989
"How many planets does our solar system have?",8
"How fast (in km/h) can a cheetah sprint?",120
"How tall (in metres) is the Eiffel Tower?",330
"How many bones does an adult human have?",206
"In which year did the World Wide Web become publicly available?",1991
"How many players does a football (soccer) team have on the pitch?",11
"At what temperature (in °C) does water boil at sea level?",100
"How many states does Germany have?",16
"How many cards are in a standard deck (without jokers)?",52
"What voltage (in volts) does a household socket deliver in Germany?",230
"How many keys does a standard piano have?",88
"How many teeth does an adult have (including wisdom teeth)?",32
"How fast is light in a vacuum (in km/s, rounded)?",300000
"How many arms does an octopus have?",8
"In which year were the United Nations founded?",1945
"How tall (in millimetres) is an Oscar statuette?",343
"What temperature (in °C, rounded) does dry ice have?",-78
"How many players does a handball team have on the court at once?",7
"In which year was the euro introduced as electronic money?",1999
