question,answer
"In welchem Jahr fiel die Berliner Mauer?",1989
"Wie viele Planeten hat unser Sonnensystem?",8
"Welche Geschwindigkeit (km/h) erreicht ein Gepard im Sprint?",120
"Wie hoch (in Metern) ist der Eiffelturm?",330
"Wie viele Knochen hat ein erwachsener Mensch?",206
"In welchem Jahr wurde das World Wide Web öffentlich zugänglich?",1991
"Wie viele Spieler hat eine Fußballmannschaft auf dem Feld?",11
"Bei welcher Temperatur (in °C) kocht Wasser auf Meereshöhe?",100
"Wie viele Bundesländer hat Deutschland?",16
"Wie viele Karten hat ein Standard-Kartenspiel (ohne Joker)?",52
"Welche Spannung (in Volt) liefert eine Haushaltssteckdose in Deutschland?",230
"Wie viele Tasten hat ein Standardklavier?",88
"Wie viele Zähne hat ein Erwachsener (inklusive Weisheitszähne)?",32
"Wie schnell ist Licht im Vakuum (in km/s, gerundet)?",300000
"Wie viele Arme hat ein Oktopus?",8
"In welchem Jahr wurden die Vereinten Nationen gegründet?",1945
"Wie hoch (in Millimetern) ist eine Oscar-Statuette?",343
"Welche Temperatur (in °C, gerundet) hat Trockeneis?",-78
"Wie viele Spieler stehen bei einer Handballmannschaft gleichzeitig auf dem Feld?",7
"In welchem Jahr wurde der Euro als Buchgeld eingeführt?",1999
