category,topic
Tiere,Pinguin
Tiere,Elefant
Tiere,"Roter Fuchs"
Tiere,Schmetterling
Essen,Spaghetti
Essen,Ananas
Essen,Eisbecher
Essen,"Geburtstagstorte"
Orte,Leuchtturm
Orte,Schloss
Orte,Spielplatz
Orte,Campingplatz
Berufe,Feuerwehrmann
Berufe,Arzt
Berufe,Detektiv
Berufe,Zauberer
Natur,Vulkan
Natur,Regenbogen
Natur,Palme
Natur,Schneemann
Fahrzeuge,Fahrrad
Fahrzeuge,Raumschiff
Fahrzeuge,Segelboot
Fahrzeuge,Traktor
Haushalt,Staubsauger
Haushalt,Regenschirm
Haushalt,Wecker
Haushalt,Schaukelstuhl
Märchen,Drache
Märchen,Meerjungfrau
Märchen,Zauberstab
Märchen,Prinzessin
Sport,Fußball
Sport,Tennis
Sport,Skateboard
Sport,Schlitten
Reisen,Zelt
Reisen,Koffer
Reisen,Landkarte
Reisen,Heißluftballon
